Title,Ratings,Modified,Notes,Audio,Images
Chinese Characters for beginner 汉字 by Peking University MOOC,1.0,2017-12-31,637.0,0.0,0.0
Sachkunde mit Axel,5.0,2020-12-16,500.0,1.0,4.0
Axelos ITIL v4 Foundations,1.0,2021-03-25,607.0,0.0,11.0
Tabla de Valencia by Axel,0.0,2022-12-08,65.0,0.0,0.0
sintaxe,0.0,2022-10-26,25.0,0.0,0.0
Sintaxe,0.0,2021-11-29,114.0,0.0,0.0
Moraxella,0.0,2022-12-24,17.0,0.0,25.0
